entrez_gene_id	symbol	description	chromosome	gene_type	synonyms	aliases
23756	RPS24P1	ribosomal protein S24 pseudogene 1	Y	pseudo	RPS24P	
23757	ARSFP1	arylsulfatase F pseudogene 1	Y	pseudo	ARSFP	
23758	SFPQP1	splicing factor proline and glutamine rich pseudogene 1	Y	pseudo	SFPQP	splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated) pseudogene|splicing factor proline/glutamine-rich (polypyrimidine tract binding protein associated) pseudogene 1|splicing factor proline/glutamine-rich pseudogene 1
23759	PPIL2	peptidylprolyl isomerase like 2	22	protein-coding	CYC4|CYP60|Cyp-60|UBOX7|hCyP-60	peptidyl-prolyl cis-trans isomerase-like 2|PPIase|RING-type E3 ubiquitin transferase isomerase-like 2|U-box domain containing 7|cyclophilin, 60kDa|cyclophilin-60|cyclophilin-like protein CyP-60|peptidylprolyl cis-trans isomerase|peptidylprolyl isomerase (cyclophilin)-like 2|rotamase PPIL2
23760	PITPNB	phosphatidylinositol transfer protein beta	22	protein-coding	PI-TP-beta|PtdInsTP|VIB1B	phosphatidylinositol transfer protein beta isoform|PtdIns transfer protein beta|phosphotidylinositol transfer protein, beta
23761	PISD	phosphatidylserine decarboxylase	22	protein-coding	DJ858B16|PSD|PSDC|PSSC|dJ858B16.2	phosphatidylserine decarboxylase proenzyme, mitochondrial
23762	OSBP2	oxysterol binding protein 2	22	protein-coding	HLM|ORP-4|ORP4|OSBPL1|OSBPL4	oxysterol-binding protein 2|OSBP-related protein 4|oxysterol binding protein-like 1|oxysterol-binding protein-related protein 4
23764	MAFF	MAF bZIP transcription factor F	22	protein-coding	U-MAF|hMafF	transcription factor MafF|v-maf avian musculoaponeurotic fibrosarcoma oncogene family protein F|v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog F
23765	IL17RA	interleukin 17 receptor A	22	protein-coding	CANDF5|CD217|CDw217|IL-17RA|IL17R|IMD51|hIL-17R	interleukin-17 receptor A|IL-17 receptor A
23766	GABARAPL3	GABA type A receptor associated protein like 3 pseudogene	15	pseudo	ATG8D	GABA(A) receptors associated protein like 3, pseudogene
23767	FLRT3	fibronectin leucine rich transmembrane protein 3	20	protein-coding	HH21	leucine-rich repeat transmembrane protein FLRT3|fibronectin-like domain-containing leucine-rich transmembrane protein 3
23768	FLRT2	fibronectin leucine rich transmembrane protein 2	14	protein-coding		leucine-rich repeat transmembrane protein FLRT2|fibronectin-like domain-containing leucine-rich transmembrane protein 2
23769	FLRT1	fibronectin leucine rich transmembrane protein 1	11	protein-coding	SPG68	leucine-rich repeat transmembrane protein FLRT1|fibronectin-like domain-containing leucine-rich transmembrane protein 1
23770	FKBP8	FK506 binding protein 8	19	protein-coding	FKBP38|FKBPr38	peptidyl-prolyl cis-trans isomerase FKBP8|38 kDa FK506-binding protein|38 kDa FKBP|FK506 binding protein 8, 38kDa|FKBP-38|FKBP-8|PPIase FKBP8|hFKBP38|rotamase
23771	DIANPH	diabetic nephropathy	18	unknown		
23772	CSF2RBP1	colony stimulating factor 2 receptor beta common subunit pseudogene 1	22	pseudo	CSF2RB2|fF45C1.2	colony stimulating factor 2 receptor, beta, 2 pseudogene|colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage) pseudogene 1
23774	BRD1	bromodomain containing 1	22	protein-coding	BRL|BRPF1|BRPF2	bromodomain-containing protein 1|BR140-like protein|bromodomain and PHD finger-containing protein 2
23779	ARHGAP8	Rho GTPase activating protein 8	22	protein-coding	BPGAP1|PP610	rho GTPase-activating protein 8|BCH domain-containing Cdc42GAP-like protein|BNIP-2 and Cdc42GAP homology domain-containing, proline-rich and Cdc42GAP-like protein subtype-1|rho-type GTPase-activating protein 8
23780	APOL2	apolipoprotein L2	22	protein-coding	APOL-II|APOL3	apolipoprotein L2|apolipoprotein L, 2|apolipoprotein L-II
23781	AP1B1P2	adaptor related protein complex 1 beta 1 subunit pseudogene 2	22	pseudo	ADTB1L2|dJ127L4.3	adaptin, beta 1-like 2
23782	AP1B1P1	adaptor related protein complex 1 beta 1 subunit pseudogene 1	22	pseudo	ADTB1L1|dJ127L4.2	adaptin, beta 1-like 1
23783	ANKRD62P1-PARP4P3	ANKRD62P1-PARP4P3 readthrough, transcribed pseudogene	22	pseudo	VWFP1-ANKRD62P1-PARP4P3	ANKRD62P1-PARP4P3 readthrough (non-protein coding)
23784	POTEH	POTE ankyrin domain family member H	22	protein-coding	A26C3|ACTBL1|CT104.7|POTE22	POTE ankyrin domain family member H|ANKRD26-like family C member 3|actin, beta-like 1|cancer/testis antigen family 104, member 7|prostate, ovary, testis-expressed protein on chromosome 22|protein expressed in prostate, ovary, testis, and placenta 22|protein expressed in prostate, ovary, testis, and placenta POTE14 like
23785	ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1	2	pseudo		ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 1
23786	BCL2L13	BCL2 like 13	22	protein-coding	BCL-RAMBO|Bcl2-L-13|MIL1	bcl-2-like protein 13|BCL2-like 13 (apoptosis facilitator)
23787	MTCH1	mitochondrial carrier 1	6	protein-coding	CGI-64|PIG60|PSAP|SLC25A49	mitochondrial carrier homolog 1|cell proliferation-inducing protein 60|presenilin-associated protein|solute carrier family 25, member 49
23788	MTCH2	mitochondrial carrier 2	11	protein-coding	HSPC032|MIMP|SLC25A50	mitochondrial carrier homolog 2|2310034D24Rik|met-induced mitochondrial protein|solute carrier family 25, member 50
24137	KIF4A	kinesin family member 4A	X	protein-coding	KIF4|KIF4G1|MRX100	chromosome-associated kinesin KIF4A|chromokinesin-A
24138	IFIT5	interferon induced protein with tetratricopeptide repeats 5	10	protein-coding	ISG58|P58|RI58	interferon-induced protein with tetratricopeptide repeats 5|IFIT-5|interferon-induced 58 kDa protein|retinoic acid- and interferon-inducible 58 kDa protein|retinoic acid- and interferon-inducible protein (58kD)
24139	EML2	echinoderm microtubule associated protein like 2	19	protein-coding	ELP70|EMAP-2|EMAP2	echinoderm microtubule-associated protein-like 2|echinoderm MT-associated protein (EMAP)-like protein 70|microtubule-associated protein like echinoderm EMAP
24140	FTSJ1	FtsJ RNA methyltransferase homolog 1	X	protein-coding	CDLIV|JM23|MRX44|MRX9|SPB1|TRMT7	putative tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase|2'-O-ribose RNA methyltransferase TRM7 homolog|FtsJ-like protein 1|cell division protein|putative ribosomal RNA methyltransferase 1|rRNA (uridine-2'-O-)-methyltransferase|tRNA methyltransferase 7 homolog
24141	LAMP5	lysosomal associated membrane protein family member 5	20	protein-coding	BAD-LAMP|BADLAMP|C20orf103|LAMP-5|UNC-46	lysosome-associated membrane glycoprotein 5|LAMP family protein C20orf103|brain and dendritic cell-associated LAMP|brain-associated LAMP-like protein|lysosome-associated membrane protein 5
24142	NAT6	N-acetyltransferase 6	3	protein-coding	FUS-2|FUS2	N-acetyltransferase 6|N-acetyltransferase 6 (GCN5-related)|protein fusion-2
24144	TFIP11	tuftelin interacting protein 11	22	protein-coding	NTR1|STIP|STIP-1|Spp382|TIP39|bK445C9.6	tuftelin-interacting protein 11|septin and tuftelin-interacting protein 1|sip1/tuftelin interacting protein
24145	PANX1	pannexin 1	11	protein-coding	MRS1|PX1|UNQ2529	pannexin-1|innexin
24146	CLDN15	claudin 15	7	protein-coding		claudin-15
24147	FJX1	four jointed box 1	11	protein-coding		four-jointed box protein 1|four-jointed protein homolog|putative secreted ligand homologous to fjx1
24148	PRPF6	pre-mRNA processing factor 6	20	protein-coding	ANT-1|ANT1|C20orf14|Prp6|RP60|SNRNP102|TOM|U5-102K|hPrp6	pre-mRNA-processing factor 6|PRP6 homolog|PRP6 pre-mRNA processing factor 6 homolog|U5 snRNP-associated 102 kDa protein|U5-102 kDa protein|androgen receptor N-terminal domain transactivating protein-1|p102 U5 small nuclear ribonucleoprotein particle-binding protein|putative mitochondrial outer membrane protein import receptor
24149	ZNF318	zinc finger protein 318	6	protein-coding	HRIHFB2436|TZF|ZFP318	zinc finger protein 318|endocrine regulator|endocrine regulatory protein|testicular zinc finger
24150	TP53TG3	TP53 target 3	16	protein-coding	P53TG3|TP53TG3A|TP53TG3E|TP53TG3F	TP53-target gene 3 protein|TP53-inducible gene 3 protein|p53 target gene 3
25758	KIAA1549L	KIAA1549 like	11	protein-coding	C11orf41|C11orf69|G2	UPF0606 protein KIAA1549L|UPF0606 protein C11orf41|Uncharacterized protein C11orf69
25759	SHC2	SHC adaptor protein 2	19	protein-coding	SCK|SHCB|SLI	SHC-transforming protein 2|SH2 domain protein C2|SHC (Src homology 2 domain containing) transforming protein 2|SHC-transforming protein B|neuronal Shc adaptor homolog|protein Sck|src homology 2 domain-containing-transforming protein C2
25763	HYPM	huntingtin interacting protein M	X	protein-coding	CXorf27|HIP17	huntingtin-interacting protein M|huntingtin yeast partner M
25764	HYPK	huntingtin interacting protein K	15	protein-coding	C15orf63|HSPC136	huntingtin-interacting protein K|huntingtin yeast partner K
25766	PRPF40B	pre-mRNA processing factor 40 homolog B	12	protein-coding	HYPC	pre-mRNA-processing factor 40 homolog B|Huntingtin interacting protein C|PRP40 pre-mRNA processing factor 40 homolog B|huntingtin yeast partner C
25769	SLC24A2	solute carrier family 24 member 2	9	protein-coding	NCKX2	sodium/potassium/calcium exchanger 2|Na(+)/K(+)/Ca(2+)-exchange protein 2|retinal cone Na-Ca+K exchanger|solute carrier family 24 (sodium/potassium/calcium exchanger), member 2
25770	C22orf31	chromosome 22 open reading frame 31	22	protein-coding	HS747E2A|bK747E2.1	uncharacterized protein C22orf31
25771	TBC1D22A	TBC1 domain family member 22A	22	protein-coding	C22orf4|HSC79E021	TBC1 domain family member 22A|putative GTPase activator
25774	GSTT4	glutathione S-transferase theta 4	22	protein-coding	GSTTP1|HS322B1A	glutathione S-transferase theta-4|GST class-theta-4|glutathione S-transferase theta pseudogene 1
25775	C22orf24	chromosome 22 open reading frame 24	22	protein-coding	HSN44A4A	uncharacterized protein C22orf24
25776	CBY1	chibby family member 1, beta catenin antagonist	22	protein-coding	C22orf2|CBY|HS508I15A|PGEA1|PIGEA-14|PIGEA14|arb1	protein chibby homolog 1|ARPP-binding protein|PKD2 interactor, Golgi and endoplasmic reticulum-associated 1|chibby CTNNB1-mediated transcription inhibitor|chibby homolog 1|coiled-coil protein PIGEA-14|cytosolic leucine-rich protein|polycystin-2 interactor, Golgi- and endoplasmic reticulum-associated protein, 14 kDa
25777	SUN2	Sad1 and UNC84 domain containing 2	22	protein-coding	UNC84B	SUN domain-containing protein 2|Sad1 unc-84 domain protein 2|nuclear envelope protein|protein unc-84 homolog B|rab5-interacting protein|rab5IP|sad1/unc-84 protein-like 2|unc-84 homolog B
25778	DSTYK	dual serine/threonine and tyrosine protein kinase	1	protein-coding	CAKUT1|DustyPK|HDCMD38P|RIP5|RIPK5|SPG23	dual serine/threonine and tyrosine protein kinase|RIP-homologous kinase|dusty PK|dusty protein kinase|receptor-interacting serine/threonine-protein kinase 5|sgK496|sugen kinase 496
25780	RASGRP3	RAS guanyl releasing protein 3	2	protein-coding	GRP3	ras guanyl-releasing protein 3|CalDAG-GEFIII|RAS guanyl releasing protein 3 (calcium and DAG-regulated)|calcium and DAG-regulated guanine nucleotide exchange factor III|calcium- and diacylglycerol-regulated guanine nucleotide exchange factor III|guanine nucleotide exchange factor for Rap1
25782	RAB3GAP2	RAB3 GTPase activating non-catalytic protein subunit 2	1	protein-coding	RAB3-GAP150|RAB3GAP150|SPG69|WARBM2|p150	rab3 GTPase-activating protein non-catalytic subunit|RAB3 GTPase activating protein subunit 2 (non-catalytic)|RGAP-iso|rab3 GTPase-activating protein 150 kDa subunit|rab3-GAP p150|rab3-GAP regulatory subunit
25784	DGCR12	DiGeorge syndrome critical region gene 12 (non-protein coding)	22	ncRNA	DGS-E	DiGeorge syndrome gene E
25786	DGCR11	DiGeorge syndrome critical region gene 11 (non-protein coding)	22	ncRNA	DGS-D	DiGeorge syndrome gene D
25787	DGCR9	DiGeorge syndrome critical region gene 9 (non-protein coding)	22	ncRNA	DGS-A	DiGeorge syndrome gene A
25788	RAD54B	RAD54 homolog B	8	protein-coding	RDH54	DNA repair and recombination protein RAD54B
25789	TMEM59L	transmembrane protein 59 like	19	protein-coding	BSMAP|C19orf4	transmembrane protein 59-like|brain-specific membrane-anchored protein
25790	CFAP45	cilia and flagella associated protein 45	1	protein-coding	CCDC19|NESG1	cilia- and flagella-associated protein 45|coiled-coil domain containing 19|coiled-coil domain-containing protein 19, mitochondrial|nasopharyngeal epithelium specific protein 1 (NESG1)|nasopharyngeal epithelium-specific protein 1|protein CFAP45, mitochondrial
25791	NGEF	neuronal guanine nucleotide exchange factor	2	protein-coding	ARHGEF27|EPHEXIN	ephexin-1|eph-interacting exchange protein
25792	CIZ1	CDKN1A interacting zinc finger protein 1	9	protein-coding	LSFR1|NP94|ZNF356	cip1-interacting zinc finger protein|nuclear protein NP94|zinc finger protein 356
25793	FBXO7	F-box protein 7	22	protein-coding	FBX|FBX07|FBX7|PARK15|PKPS	F-box only protein 7
25794	FSCN2	fascin actin-bundling protein 2, retinal	17	protein-coding	RFSN|RP30	fascin-2|fascin homolog 2, actin-bundling protein, retinal
25796	PGLS	6-phosphogluconolactonase	19	protein-coding	6PGL|HEL-S-304	6-phosphogluconolactonase|epididymis secretory protein Li 304
25797	QPCT	glutaminyl-peptide cyclotransferase	2	protein-coding	GCT|QC|sQC	glutaminyl-peptide cyclotransferase|EC|glutaminyl cyclase|glutaminyl-tRNA cyclotransferase|glutamyl cyclase
25798	BRI3	brain protein I3	7	protein-coding	I3	brain protein I3|pRGR2
25799	ZNF324	zinc finger protein 324	19	protein-coding	ZF5128|ZNF324A	zinc finger protein 324A|zinc finger protein ZF5128
25800	SLC39A6	solute carrier family 39 member 6	18	protein-coding	LIV-1|ZIP6	zinc transporter ZIP6|LIV-1 protein, estrogen regulated|ZIP-6|estrogen-regulated protein LIV-1|solute carrier family 39 (metal ion transporter), member 6|solute carrier family 39 (zinc transporter), member 6|zrt- and Irt-like protein 6
25801	GCA	grancalcin	2	protein-coding	GCL	grancalcin|grancalcin, EF-hand calcium-binding protein|grancalcin, penta-EF-hand protein
25802	LMOD1	leiomodin 1	1	protein-coding	1D|64kD|D1|SM-LMOD|SMLMOD	leiomodin-1|64 kDa autoantigen 1D|64 kDa autoantigen 1D3|64 kDa autoantigen D1|leimodin 1 (smooth muscle)|leiomodin 1 (smooth muscle)|leiomodin, muscle form|smooth muscle leiomodin|thyroid and eye muscle autoantigen D1 (64kD)|thyroid-associated ophthalmopathy autoantigen
25803	SPDEF	SAM pointed domain containing ETS transcription factor	6	protein-coding	PDEF|bA375E1.3	SAM pointed domain-containing Ets transcription factor|prostate epithelium-specific Ets transcription factor|prostate-derived Ets factor|prostate-specific Ets
25804	LSM4	LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated	19	protein-coding	GRP|YER112W	U6 snRNA-associated Sm-like protein LSm4|LSM4 U6 small nuclear RNA and mRNA degradation associated|LSM4 homolog, U6 small nuclear RNA associated|glycine-rich protein
25805	BAMBI	BMP and activin membrane bound inhibitor	10	protein-coding	NMA	BMP and activin membrane-bound inhibitor homolog|non-metastatic gene A protein|putative transmembrane protein NMA
25806	VAX2	ventral anterior homeobox 2	2	protein-coding	DRES93	ventral anterior homeobox 2
25807	RHBDD3	rhomboid domain containing 3	22	protein-coding	C22orf3|HS984G1A|PTAG	rhomboid domain-containing protein 3|hypothetical protein HS984G1A|pituitary tumor apoptosis
25809	TTLL1	tubulin tyrosine ligase like 1	22	protein-coding	C22orf7|HS323M22B	probable tubulin polyglutamylase TTLL1|PGs3|catalytic subunit of neural tubulin polyglutamylase|tubulin polyglutamylase complex subunit 3|tubulin tyrosine ligase-like family, member 1|tubulin--tyrosine ligase-like protein 1|tubulin-tyrosine ligase
25812	POM121L1P	POM121 transmembrane nucleoporin like 1, pseudogene	22	pseudo	POM121L1	POM121 membrane glycoprotein-like 1, pseudogene|POM121-like 2
25813	SAMM50	SAMM50 sorting and assembly machinery component	22	protein-coding	CGI-51|OMP85|SAM50|TOB55|TRG-3|YNL026W	sorting and assembly machinery component 50 homolog|sorting and assembly machinery 50kDa|transformation-related gene 3 protein
25814	ATXN10	ataxin 10	22	protein-coding	E46L|HUMEEP|SCA10	ataxin-10|brain protein E46 homolog|spinocerebellar ataxia type 10 protein
25816	TNFAIP8	TNF alpha induced protein 8	5	protein-coding	GG2-1|MDC-3.13|NDED|SCC-S2|SCCS2	tumor necrosis factor alpha-induced protein 8|NF-kappa-B-inducible DED-containing protein|TNF-induced protein GG2-1|head and neck tumor and metastasis-related protein|tumor necrosis factor, alpha induced protein 8
25817	FAM19A5	family with sequence similarity 19 member A5, C-C motif chemokine like	22	protein-coding	QLLK5208|TAFA-5|TAFA5|UNQ5208	protein FAM19A5|TAFA protein 5|chemokine-like protein TAFA-5|family with sequence similarity 19 (chemokine (C-C motif)-like), member A5
25818	KLK5	kallikrein related peptidase 5	19	protein-coding	KLK-L2|KLKL2|SCTE	kallikrein-5|kallikrein-like protein 2|stratum corneum tryptic enzyme
25819	NOCT	nocturnin	4	protein-coding	CCR4L|CCRN4L|Ccr4c|NOC	nocturnin|CCR4 carbon catabolite repression 4-like|CCR4 protein homolog|CCR4-like (carbon catabolite repression 4, S.cerevisiae)|carbon catabolite repression 4-like protein|circadian deadenylase NOC
25820	ARIH1	ariadne RBR E3 ubiquitin protein ligase 1	15	protein-coding	ARI|HARI|HHARI|UBCH7BP	E3 ubiquitin-protein ligase ARIH1|ARI-1|H7-AP2|MOP-6|ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1|ariadne, Drosophila, homolog of|monocyte protein 6|protein ariadne-1 homolog|ubcH7-binding protein|ubcM4-interacting protein|ubiquitin-conjugating enzyme E2-binding protein 1
25821	MTO1	mitochondrial tRNA translation optimization 1	6	protein-coding	CGI-02|COXPD10	protein MTO1 homolog, mitochondrial|homolog of yeast Mto1|mitochondrial MTO1-3|mitochondrial translation optimization 1 homolog
25822	DNAJB5	DnaJ heat shock protein family (Hsp40) member B5	9	protein-coding	Hsc40	dnaJ homolog subfamily B member 5|DnaJ (Hsp40) homolog, subfamily B, member 5|heat shock cognate 40|heat shock protein Hsp40-2|heat shock protein Hsp40-3|heat shock protein cognate 40
25823	TPSG1	tryptase gamma 1	16	protein-coding	PRSS31|TMT|trpA	tryptase gamma|serine protease 31|transmembrane tryptase|tryptase gamma I|tryptase gamma II
